"Scenario","Method","ESS1","ESS0","MaxW1","MaxW0"
"OR1PS1","IPW",276.4,380.1,21.27,15.47
"OR1PS1","ET",272.4,376.8,20.34,14.96
"OR1PS1","HD",275.9,380.1,19.94,14.76
"OR1PS1","CE",277.9,382.6,19.76,14.52
"OR1PS2","IPW",528.9,224,8.61,22.23
"OR1PS2","ET",511.2,214.9,9.48,21.87
"OR1PS2","HD",516.3,215.5,9.26,23.14
"OR1PS2","CE",525.3,194.6,8.59,32.87
"OR2PS1","IPW",277.2,379.8,21.42,15.79
"OR2PS1","ET",273.5,380.2,20.52,14.85
"OR2PS1","HD",275.9,382.3,20.36,14.75
"OR2PS1","CE",277.3,379.8,20.47,15.38
"OR2PS2","IPW",528.2,224.4,8.65,21.98
"OR2PS2","ET",514.3,195.1,8.84,27.86
"OR2PS2","HD",519.6,173.1,8.68,39.13
"OR2PS2","CE",508.1,119,11.14,70.23
