"Estimator","NSW_Est","NSW_SE","PSID_Est","PSID_EB","PSID_SE","CPS_Est","CPS_EB","CPS_SE"
"Unweighted",1794,671,-15205,-16999,657,-8498,-10292,583
"IPW",1796,665,1474,-320,945,1064,-730,644
"EBPS",1616,676,2316,522,885,1284,-510,734
"CBPS",1636,671,2316,522,885,1284,-510,734
"EBCW",1622,679,820,-974,873,709,-1085,707
"AIPW-LM",1779,667,1283,-511,910,1291,-503,645
"AIPW-GAM",1780,669,1499,-295,894,1685,-109,646
"ET",1787,667,1678,-116,944,1617,-177,642
"HD",1787,667,1380,-414,877,1554,-240,640
"CE",1742,689,1727,-67,907,1591,-203,646
