"Scenario","Method","Bias","MC_SD","RMSE","Coverage","M_fail"
"OR1PS1","IPW",0,0.098,0.097,0.945,0
"OR1PS1","EBPS",0.001,0.074,0.074,0.946,0
"OR1PS1","oCBPS",-0.009,0.081,0.081,0.945,0
"OR1PS1","CBPS",0.001,0.079,0.079,0.938,0
"OR1PS1","EBCW",0.001,0.073,0.073,0.941,0
"OR1PS1","AIPW_LM",0.001,0.081,0.081,0.944,0
"OR1PS1","AIPW_GAM",0.001,0.083,0.083,0.937,0
"OR1PS1","ET",0.001,0.081,0.081,0.938,0
"OR1PS1","HD",0.002,0.081,0.081,0.936,0
"OR1PS1","CE",0.002,0.08,0.08,0.936,0
"OR1PS2","IPW",-0.064,0.091,0.111,0.86,0
"OR1PS2","EBPS",0,0.079,0.079,0.94,0
"OR1PS2","oCBPS",-0.054,0.093,0.107,0.868,0
"OR1PS2","CBPS",-0.001,0.083,0.082,0.934,0
"OR1PS2","EBCW",0.001,0.077,0.077,0.937,0
"OR1PS2","AIPW_LM",-0.001,0.083,0.083,0.933,0
"OR1PS2","AIPW_GAM",-0.001,0.089,0.089,0.924,0
"OR1PS2","ET",-0.004,0.088,0.089,0.929,1
"OR1PS2","HD",-0.007,0.089,0.089,0.925,1
"OR1PS2","CE",-0.009,0.093,0.093,0.914,0
"OR2PS1","IPW",-0.012,0.777,0.777,0.939,0
"OR2PS1","EBPS",-0.004,0.478,0.478,0.939,0
"OR2PS1","oCBPS",-0.094,0.568,0.575,0.931,0
"OR2PS1","CBPS",0.009,0.611,0.611,0.921,0
"OR2PS1","EBCW",0.307,0.473,0.564,0.887,0
"OR2PS1","AIPW_LM",-0.002,0.945,0.944,0.932,0
"OR2PS1","AIPW_GAM",-0.001,0.157,0.157,0.917,0
"OR2PS1","ET",-0.007,0.128,0.128,0.902,0
"OR2PS1","HD",-0.006,0.125,0.125,0.895,0
"OR2PS1","CE",-0.004,0.122,0.122,0.886,1
"OR2PS2","IPW",-2.683,0.662,2.763,0.067,0
"OR2PS2","EBPS",-2.174,0.492,2.229,0.03,0
"OR2PS2","oCBPS",-2.717,0.703,2.806,0.014,0
"OR2PS2","CBPS",-2.339,0.575,2.409,0.046,0
"OR2PS2","EBCW",-2.358,0.451,2.4,0.003,0
"OR2PS2","AIPW_LM",-2.182,0.783,2.318,0.15,0
"OR2PS2","AIPW_GAM",-0.238,0.194,0.307,0.393,0
"OR2PS2","ET",-0.186,0.202,0.274,0.546,0
"OR2PS2","HD",-0.156,0.244,0.289,0.549,0
"OR2PS2","CE",-0.114,0.327,0.346,0.514,0
